GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
3300048830 assembled Ga0498909_102017_2_199,,membrane protein involved in colicin uptake,Ga0498909_102017,198,8,2.01591919986191e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_054533_3_476,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_054533,474,10,1.0526160379025801e-09,3.0,0,0.0,0.0
3300048830 assembled Ga0498909_152121_9_311,,membrane protein involved in colicin uptake,Ga0498909_152121,303,8,1.31733333852363e-09,3.0,0,0.0,0.0
3300048830 assembled Ga0498909_002516_1219_1605,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_002516,387,25,3.2231266276862e-09,7.0,2,2.57850130214896e-10,0.0
3300048830 assembled Ga0498909_035893_1_567,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_035893,567,18,1.58393651417722e-09,3.0,2,1.75992946019691e-10,0.0
3300048830 assembled Ga0498909_102174_2_370,,membrane protein involved in colicin uptake,Ga0498909_102174,369,12,1.62256911208398e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_155396_19_225,,membrane protein involved in colicin uptake,Ga0498909_155396,207,8,1.92827053899835e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_111258_3_284,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_111258,282,14,2.47700710195799e-09,6.0,0,0.0,0.0
3300048830 assembled Ga0498909_066276_34_441,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_066276,408,12,1.46747059401713e-09,3.0,0,0.0,0.0
3300048830 assembled Ga0498909_092241_24_170,,membrane protein involved in colicin uptake,Ga0498909_092241,147,4,1.3576598692947602e-09,2.0,0,0.0,0.0
3300048830 assembled Ga0498909_153148_21_311,,membrane protein involved in colicin uptake,Ga0498909_153148,291,8,1.37165636279264e-09,4.0,0,0.0,0.0
3300048830 assembled Ga0498909_115255_21_353,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_115255,333,10,1.4983183242216902e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_062863_1_198,,membrane protein involved in colicin uptake,Ga0498909_062863,198,8,2.01591919986191e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_055021_3_476,,membrane protein involved in colicin uptake,Ga0498909_055021,474,30,3.15784811370774e-09,9.0,0,0.0,0.0
3300048830 assembled Ga0498909_132552_13_321,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_132552,309,6,9.68815537797716e-10,2.0,0,0.0,0.0
3300048830 assembled Ga0498909_097493_1_378,,membrane protein involved in colicin uptake,Ga0498909_097493,378,11,1.45194180466245e-09,4.0,0,0.0,0.0
3300048830 assembled Ga0498909_002294_74_1480,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_002294,1407,167,5.922031295543181e-09,15.0,0,0.0,0.0
3300048830 assembled Ga0498909_012066_70_882,,2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase,Ga0498909_012066,813,16,9.81923743106172e-10,2.0,2,1.22740467888271e-10,0.0
3300048830 assembled Ga0498909_115931_3_338,,membrane protein involved in colicin uptake,Ga0498909_115931,336,15,2.2274107230617104e-09,7.0,0,0.0,0.0
