GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
3300048829 assembled Ga0498908_60947_2_349,,formyltetrahydrofolate synthetase,Ga0498908_60947,348,7,1.5788127301204102e-09,3.0,0,0.0,0.0
3300048829 assembled Ga0498908_00451_7_510,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_00451,504,54,8.409594337988321e-09,13.0,0,0.0,0.0
3300048829 assembled Ga0498908_64273_3_221,,formyltetrahydrofolate synthetase,Ga0498908_64273,219,6,2.15039855217966e-09,2.0,0,0.0,0.0
3300048829 assembled Ga0498908_54355_67_366,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_54355,300,10,2.61631823848526e-09,4.0,0,0.0,0.0
3300048829 assembled Ga0498908_57796_1_354,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_57796,354,8,1.77377507693916e-09,3.0,0,0.0,0.0
3300048829 assembled Ga0498908_04782_428_1027,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_04782,600,35,4.5785569173492e-09,7.0,0,0.0,0.0
3300048829 assembled Ga0498908_00165_468_1061,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_00165,594,234,3.09201246366439e-08,47.0,0,0.0,0.0
3300048829 assembled Ga0498908_32611_2_457,,formyltetrahydrofolate synthetase,Ga0498908_32611,456,23,3.95890259770795e-09,8.0,0,0.0,0.0
3300048829 assembled Ga0498908_14692_247_648,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_14692,402,50,9.76238148688529e-09,16.0,0,0.0,0.0
3300048829 assembled Ga0498908_18367_2_277,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_18367,276,8,2.27505933781327e-09,4.0,0,0.0,0.0
3300048829 assembled Ga0498908_14441_3_452,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_14441,450,35,6.1047425564656e-09,9.0,0,0.0,0.0
3300048829 assembled Ga0498908_08951_7_696,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_08951,690,66,7.507695814783781e-09,11.0,0,0.0,0.0
3300048829 assembled Ga0498908_20973_186_554,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_20973,369,12,2.5525055985222e-09,3.0,0,0.0,0.0
3300048829 assembled Ga0498908_22286_149_529,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_22286,381,26,5.3562420630406805e-09,4.0,0,0.0,0.0
3300048829 assembled Ga0498908_00367_89_682,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_00367,594,68,8.98533536449482e-09,13.0,4,5.28549139087931e-10,1.0
3300048829 assembled Ga0498908_54733_1_360,,formyltetrahydrofolate synthetase,Ga0498908_54733,360,18,3.92447735772788e-09,7.0,0,0.0,0.0
3300048829 assembled Ga0498908_21110_320_553,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_21110,234,25,8.38563537976044e-09,12.0,0,0.0,0.0
3300048829 assembled Ga0498908_08971_315_791,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_08971,477,24,3.94915960526076e-09,6.0,0,0.0,0.0
3300048829 assembled Ga0498908_38995_57_422,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_38995,366,22,4.71795092185866e-09,8.0,0,0.0,0.0
3300048829 assembled Ga0498908_61618_3_347,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_61618,345,8,1.8200474702506101e-09,4.0,0,0.0,0.0
3300048829 assembled Ga0498908_24929_427_513,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_24929,87,2,1.8043574058519e-09,1.0,0,0.0,0.0
3300048829 assembled Ga0498908_08785_312_812,,ubiquinol-cytochrome c reductase iron-sulfur subunit,Ga0498908_08785,501,11,1.7233233906190301e-09,3.0,0,0.0,0.0
3300048829 assembled Ga0498908_32095_2_433,,formyltetrahydrofolate synthetase,Ga0498908_32095,432,16,2.90702026498362e-09,6.0,0,0.0,0.0
