GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
3300048830 assembled Ga0498909_028013_308_457,,oligopeptidase A,Ga0498909_028013,150,12,3.9915200157265905e-09,6.0,5,1.66313333988608e-09,2.0
3300048830 assembled Ga0498909_115989_3_347,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_115989,345,10,1.4462029042487602e-09,4.0,0,0.0,0.0
3300048830 assembled Ga0498909_062569_30_452,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_062569,423,34,4.0103924507891305e-09,12.0,0,0.0,0.0
3300048830 assembled Ga0498909_025975_48_647,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_025975,600,41,3.4094233467664602e-09,10.0,0,0.0,0.0
3300048830 assembled Ga0498909_049310_1_498,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_049310,498,20,2.00377510829648e-09,6.0,2,2.00377510829648e-10,0.0
3300048830 assembled Ga0498909_045363_20_514,,oligopeptidase A,Ga0498909_045363,495,12,1.2095515199171502e-09,4.0,0,0.0,0.0
3300048830 assembled Ga0498909_012928_1_855,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_012928,855,137,7.99471114261027e-09,23.0,2,1.16711111570953e-10,0.0
3300048830 assembled Ga0498909_024232_1_666,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_024232,666,30,2.24747748633254e-09,6.0,0,0.0,0.0
3300048830 assembled Ga0498909_078502_5_412,,oligopeptidase A,Ga0498909_078502,408,16,1.9566274586895e-09,6.0,0,0.0,0.0
3300048830 assembled Ga0498909_135330_17_328,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_135330,312,8,1.2793333383739101e-09,4.0,2,3.19833334593477e-10,1.0
3300048830 assembled Ga0498909_094301_2_382,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_094301,381,21,2.75006300296123e-09,7.0,0,0.0,0.0
3300048830 assembled Ga0498909_002034_1_1446,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_002034,1446,516,1.78044979954609e-08,24.0,8,2.76038728611797e-10,0.0
3300048830 assembled Ga0498909_060448_58_459,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_060448,402,8,9.92915426797659e-10,2.0,2,2.48228856699415e-10,1.0
3300048830 assembled Ga0498909_080949_3_407,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_080949,405,9,1.10875555992405e-09,3.0,0,0.0,0.0
3300048830 assembled Ga0498909_118191_2_331,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_118191,330,39,5.8965636595961e-09,14.0,0,0.0,0.0
3300048830 assembled Ga0498909_147588_2_316,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_147588,315,4,6.33574605670887e-10,2.0,0,0.0,0.0
3300048830 assembled Ga0498909_142930_1_321,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_142930,321,20,3.1086604483851905e-09,9.0,0,0.0,0.0
3300048830 assembled Ga0498909_022424_7_414,,oligopeptidase A,Ga0498909_022424,408,20,2.4457843233618804e-09,5.0,1,1.22289216168094e-10,0.0
3300048830 assembled Ga0498909_075068_1_411,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_075068,411,12,1.45675912982722e-09,4.0,0,0.0,0.0
3300048830 assembled Ga0498909_006640_280_1119,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_006640,840,48,2.8510857255189903e-09,6.0,4,2.37590477126583e-10,0.0
3300048830 assembled Ga0498909_054465_1_477,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_054465,477,38,3.9747840827466e-09,10.0,0,0.0,0.0
3300048830 assembled Ga0498909_162313_2_298,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_162313,297,22,3.6958518664135104e-09,10.0,0,0.0,0.0
3300048830 assembled Ga0498909_014702_2_772,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_014702,771,137,8.86573025542384e-09,20.0,0,0.0,0.0
3300048830 assembled Ga0498909_130344_6_335,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_130344,330,17,2.5702969798239403e-09,6.0,0,0.0,0.0
3300048830 assembled Ga0498909_142539_3_308,,oligopeptidase A,Ga0498909_142539,306,6,9.78313729344752e-10,3.0,0,0.0,0.0
3300048830 assembled Ga0498909_079433_1_408,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_079433,408,17,2.0789166748576e-09,6.0,0,0.0,0.0
3300048830 assembled Ga0498909_136884_1_327,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_136884,327,4,6.10324161426084e-10,2.0,0,0.0,0.0
3300048830 assembled Ga0498909_072584_3_425,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_072584,423,52,6.13354139532455e-09,14.0,0,0.0,0.0
3300048830 assembled Ga0498909_118817_1_348,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_118817,348,16,2.29397702053252e-09,5.0,0,0.0,0.0
3300048830 assembled Ga0498909_047060_84_506,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_047060,423,42,4.95401420391598e-09,15.0,3,3.5385815742257e-10,0.0
3300048830 assembled Ga0498909_005536_3_953,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_005536,951,160,8.39436386062374e-09,25.0,2,1.0492954825779701e-10,0.0
3300048830 assembled Ga0498909_053934_48_479,,ATP-dependent Clp protease ATP-binding subunit ClpB,Ga0498909_053934,432,17,1.9634213040321802e-09,5.0,0,0.0,0.0
